,Total_Antibiotic_Stress
HKDryMB1,0.567922803
HKDryMB2,0.64329759
HKDryMB3,0.618034162
HKDryMB4,0.7666373
HKDryMB5,0.570006358
HKDryMCLM1,0.749395179
HKDryMCLM2,0.710114794
HKDryMCLM3,0.625687509
HKDryMCLM4,0.801992987
HKDryMCLM5,0.746662638
HKDryMCSK2,0.617658594
HKDryMCSK3,0.537120484
HKDryMCSK4,0.592075396
HKDryMCSK5,0.470792234
HKDryME1,0.670783589
HKDryME2,0.579918583
HKDryME3,0.752278136
HKDryME4,0.40802564
HKDryME5,0.687573104
HKDryMP1,0.622291367
HKDryMP2,0.567886161
HKDryMP3,0.652374184
HKDryMP4,0.627327229
HKDryMP5,0.603980041
HKDryMR1,0.491908022
HKDryMR2,0.530046989
HKDryMR3,0.584330305
HKDryMR4,0.532768532
HKDryMR5,0.504472034
HKDryWWTP1,1.120382939
HKDryWWTP2,1.151384354
HKDryWWTP3,1.478108768
HKDryWWTP4,1.536988973
HKWetMB1,0.794078006
HKWetMB2,0.632509817
HKWetMB3,0.548463508
HKWetMB4,0.634505113
HKWetMB5,0.683671146
HKWetMCLM1,0.723937097
HKWetMCLM2,0.635034692
HKWetMCLM3,0.719529471
HKWetMCLM4,0.664690994
HKWetMCLM5,0.640712108
HKWetMCSK2,0.46931871
HKWetMCSK3,0.646282578
HKWetMCSK4,0.451984745
HKWetMCSK5,0.561770318
HKWetME1,0.812572171
HKWetME2,0.838793335
HKWetME3,0.682346299
HKWetME4,0.520546889
HKWetME5,0.761239067
HKWetMP1,0.776475653
HKWetMP2,0.801038688
HKWetMP3,0.937573803
HKWetMP4,0.694657558
HKWetMP5,1.066282949
HKWetMR1,0.70439286
HKWetMR2,0.695397344
HKWetMR3,0.660462703
HKWetMR4,0.531302876
HKWetWWTP1,1.239565757
HKWetWWTP2,1.344473972
HKWetWWTP3,1.299837365
HKWetWWTP4,1.586149056
QDDryMB1,0.792111557
QDDryMB2,0.729828155
QDDryMB3,0.685300088
QDDryMB4,0.596564369
QDDryMB5,0.608131085
QDDryMC1,0.968508248
QDDryMC2,1.138184599
QDDryMC3,1.332134606
QDDryMC4,0.97382982
QDDryMC5,0.932345164
QDDryME1,1.690616878
QDDryME2,1.902046651
QDDryME3,1.558377129
QDDryME4,1.805198933
QDDryME5,1.560769977
QDDryMP1,1.021232108
QDDryMP2,1.066124896
QDDryMP3,1.022234482
QDDryMP4,1.122619184
QDDryMP5,0.872910466
QDDryMR1,0.899317927
QDDryMR2,0.810058376
QDDryMR3,1.108208735
QDDryMR4,1.067254436
QDDryMR5,1.083040617
QDDryWWTP1,0.920317919
QDDryWWTP2,1.132597461
QDDryWWTP3,0.906966457
QDDryWWTP4,0.994754591
QDDryWWTP5,1.052779554
QDWetMB1,0.82042983
QDWetMB2,0.963695063
QDWetMB3,0.937254487
QDWetMB4,0.686330358
QDWetMB5,0.751038948
QDWetMC1,1.164300872
QDWetMC2,1.121076986
QDWetMC3,1.11828337
QDWetMC4,0.943111108
QDWetMC5,1.05441556
QDWetME1,1.110434056
QDWetME2,1.374576225
QDWetME3,1.231762933
QDWetME5,1.169682107
QDWetMP1,0.728022976
QDWetMP2,0.962311536
QDWetMP3,0.580564598
QDWetMP4,0.836018704
QDWetMP5,0.96763097
QDWetMR1,0.8048296
QDWetMR2,0.660840209
QDWetMR3,0.845798933
QDWetMR4,0.880319894
QDWetMR5,0.754762782
QDWetWWTP2,1.168224076
QDWetWWTP3,0.854267731
QDWetWWTP5,0.644153907
